EnrollmentID,StudentID,CourseID,Semester,Year,Grade
138,1455,COURSE45,Summer,2021,D
139,1262,COURSE4,Fall,2022,C
140,1026,COURSE8,Spring,2023,A
141,1122,COURSE40,Fall,2022,C
142,1269,COURSE49,Spring,2019,D
143,1052,COURSE26,Summer,2023,A
144,1450,COURSE18,Summer,2024,B
145,1470,COURSE35,Fall,2024,B
146,1251,COURSE42,Fall,2022,C
147,1215,COURSE32,Summer,2024,A
148,1473,COURSE40,Spring,2020,D
149,1007,COURSE35,Spring,2020,C
150,1438,COURSE35,Fall,2020,F
151,1155,COURSE35,Fall,2021,D
152,1388,COURSE34,Fall,2023,D
153,1115,COURSE34,Fall,2020,D
154,1221,COURSE15,Summer,2019,C
155,1500,COURSE26,Fall,2019,C
156,1159,COURSE22,Spring,2024,A
157,1075,COURSE46,Spring,2019,A
158,1163,COURSE37,Fall,2021,C
159,1205,COURSE43,Spring,2022,F
160,1480,COURSE10,Spring,2022,B
161,1064,COURSE10,Spring,2021,A
162,1072,COURSE9,Summer,2020,B
163,1106,COURSE14,Spring,2019,F
164,1352,COURSE33,Spring,2021,C
165,1125,COURSE21,Fall,2021,C
166,1242,COURSE41,Fall,2019,F
167,1190,COURSE34,Spring,2024,F
168,1003,COURSE39,Spring,2021,C
169,1031,COURSE8,Fall,2023,D
170,1197,COURSE29,Fall,2021,D
171,1162,COURSE39,Summer,2020,D
172,1221,COURSE29,Spring,2023,F
173,1371,COURSE40,Spring,2019,C
174,1320,COURSE5,Summer,2020,C
175,1433,COURSE5,Spring,2019,F
176,1008,COURSE9,Summer,2019,F
177,1043,COURSE47,Spring,2022,C
178,1131,COURSE10,Summer,2019,A
179,1278,COURSE30,Spring,2023,B
180,1218,COURSE28,Spring,2019,D
181,1060,COURSE9,Fall,2024,C
182,1151,COURSE32,Fall,2019,B
183,1110,COURSE14,Spring,2023,D
184,1057,COURSE33,Fall,2021,D
185,1024,COURSE36,Spring,2020,F
186,1157,COURSE47,Fall,2022,B
187,1113,COURSE14,Fall,2021,C
188,1001,COURSE1,Spring,2020,A
189,1101,COURSE38,Spring,2021,C
190,1466,COURSE43,Summer,2020,D
191,1377,COURSE47,Fall,2024,C
192,1212,COURSE5,Spring,2019,F
193,1292,COURSE8,Fall,2022,C
194,1256,COURSE17,Summer,2024,C
195,1399,COURSE28,Summer,2024,C
196,1466,COURSE32,Spring,2023,B
197,1349,COURSE25,Spring,2022,B
198,1442,COURSE39,Summer,2023,F
199,1061,COURSE34,Spring,2021,C
200,1499,COURSE32,Spring,2022,F
201,1084,COURSE5,Fall,2023,A
202,1454,COURSE30,Spring,2019,B
203,1071,COURSE47,Summer,2019,C
204,1351,COURSE42,Spring,2023,C
205,1438,COURSE23,Spring,2021,A
206,1351,COURSE14,Fall,2020,C
207,1243,COURSE31,Summer,2022,D
208,1415,COURSE11,Summer,2024,D
209,1251,COURSE5,Fall,2022,A
210,1183,COURSE5,Spring,2023,D
211,1110,COURSE34,Summer,2021,B
212,1146,COURSE24,Summer,2021,C
213,1488,COURSE39,Spring,2022,D
214,1375,COURSE38,Fall,2024,A
215,1346,COURSE30,Fall,2019,F
216,1235,COURSE40,Summer,2019,B
217,1409,COURSE36,Summer,2021,F
218,1377,COURSE50,Summer,2020,B
219,1183,COURSE50,Fall,2024,F
220,1408,COURSE33,Spring,2023,F
221,1337,COURSE23,Summer,2022,D
222,1015,COURSE48,Summer,2020,B
223,1197,COURSE11,Summer,2023,A
224,1426,COURSE38,Summer,2023,D
225,1008,COURSE50,Spring,2022,F
226,1124,COURSE3,Summer,2022,A
227,1374,COURSE10,Summer,2022,B
228,1238,COURSE21,Summer,2022,B
229,1223,COURSE16,Fall,2022,B
230,1182,COURSE5,Summer,2020,B
231,1193,COURSE37,Fall,2021,F
232,1107,COURSE49,Fall,2024,F
233,1038,COURSE42,Spring,2019,F
234,1358,COURSE11,Spring,2019,D
235,1072,COURSE23,Summer,2024,C
236,1075,COURSE37,Summer,2023,A
237,1465,COURSE13,Spring,2024,F
238,1439,COURSE27,Summer,2019,C
239,1306,COURSE44,Fall,2019,C
240,1217,COURSE41,Spring,2022,B
241,1245,COURSE41,Spring,2023,A
242,1469,COURSE12,Fall,2020,D
243,1270,COURSE45,Summer,2024,C
244,1317,COURSE19,Spring,2019,A
245,1388,COURSE25,Fall,2022,C
246,1193,COURSE23,Summer,2021,D
247,1442,COURSE29,Fall,2021,B
248,1092,COURSE35,Fall,2022,F
249,1319,COURSE39,Fall,2023,C
250,1034,COURSE2,Fall,2019,D
251,1146,COURSE39,Fall,2020,B
252,1492,COURSE15,Spring,2021,C
253,1116,COURSE38,Spring,2021,D
254,1322,COURSE6,Fall,2023,B
255,1384,COURSE50,Summer,2019,D
256,1207,COURSE27,Spring,2020,D
257,1186,COURSE48,Summer,2021,C
258,1070,COURSE48,Fall,2023,A
259,1270,COURSE26,Fall,2023,C
260,1403,COURSE8,Fall,2020,F
261,1203,COURSE17,Spring,2022,B
262,1003,COURSE19,Summer,2019,B
263,1497,COURSE22,Summer,2023,F
264,1463,COURSE30,Summer,2019,B
265,1242,COURSE27,Spring,2024,C
266,1245,COURSE33,Fall,2020,D
267,1002,COURSE28,Summer,2023,C
268,1095,COURSE41,Spring,2022,D
269,1319,COURSE50,Fall,2020,C
270,1475,COURSE2,Summer,2024,F
271,1013,COURSE24,Fall,2020,C
272,1438,COURSE14,Fall,2019,A
273,1057,COURSE48,Summer,2022,C
274,1007,COURSE16,Summer,2021,F
275,1229,COURSE20,Fall,2024,F
276,1390,COURSE29,Fall,2021,A
277,1212,COURSE41,Spring,2021,A
278,1456,COURSE17,Summer,2020,F
279,1467,COURSE18,Spring,2022,F
280,1339,COURSE50,Fall,2022,A
281,1211,COURSE49,Spring,2022,C
282,1206,COURSE5,Spring,2022,B
283,1108,COURSE43,Summer,2023,D
284,1137,COURSE21,Summer,2023,D
285,1102,COURSE24,Spring,2021,D
286,1137,COURSE41,Fall,2024,D
287,1089,COURSE25,Spring,2021,A
288,1347,COURSE17,Fall,2021,D
289,1002,COURSE12,Summer,2019,F
290,1158,COURSE9,Fall,2019,C
291,1131,COURSE6,Summer,2019,D
292,1276,COURSE28,Summer,2023,C
293,1139,COURSE6,Summer,2021,F
294,1342,COURSE40,Summer,2023,A
295,1265,COURSE40,Spring,2024,A
296,1496,COURSE49,Summer,2023,A
297,1014,COURSE6,Fall,2024,C
298,1300,COURSE2,Fall,2019,C
299,1137,COURSE44,Fall,2024,D
300,1452,COURSE18,Summer,2021,A
301,1378,COURSE43,Fall,2019,C
302,1224,COURSE30,Summer,2020,B
303,1192,COURSE44,Summer,2019,D
304,1298,COURSE20,Fall,2020,A
305,1136,COURSE26,Fall,2020,A
306,1237,COURSE13,Fall,2019,B
307,1322,COURSE21,Fall,2019,D
308,1103,COURSE13,Fall,2023,F
309,1298,COURSE32,Summer,2021,C
310,1427,COURSE48,Spring,2020,D
311,1283,COURSE11,Summer,2019,D
312,1385,COURSE41,Spring,2024,D
313,1435,COURSE16,Fall,2022,C
314,1253,COURSE38,Fall,2021,B
315,1387,COURSE48,Summer,2024,F
316,1199,COURSE35,Fall,2021,D
317,1410,COURSE3,Summer,2019,C
318,1287,COURSE44,Fall,2021,D
319,1455,COURSE1,Spring,2023,D
320,1050,COURSE40,Spring,2020,C
321,1121,COURSE30,Summer,2019,C
322,1095,COURSE35,Fall,2023,A
323,1379,COURSE28,Fall,2021,A
324,1464,COURSE35,Summer,2022,D
325,1339,COURSE26,Spring,2021,D
326,1491,COURSE7,Fall,2020,A
327,1095,COURSE5,Spring,2022,A
328,1388,COURSE11,Fall,2024,F
329,1364,COURSE43,Summer,2024,B
330,1336,COURSE32,Summer,2021,C
331,1084,COURSE9,Summer,2020,C
332,1419,COURSE10,Fall,2019,D
333,1219,COURSE37,Spring,2023,C
334,1282,COURSE22,Summer,2020,F
335,1097,COURSE26,Summer,2021,A
336,1363,COURSE29,Spring,2021,C
337,1411,COURSE18,Fall,2019,A
338,1352,COURSE4,Summer,2024,D
339,1233,COURSE45,Spring,2020,B
340,1113,COURSE24,Summer,2020,D
341,1220,COURSE49,Fall,2021,B
342,1234,COURSE13,Summer,2023,D
343,1339,COURSE15,Summer,2023,D
344,1090,COURSE11,Summer,2023,C
345,1400,COURSE34,Fall,2022,F
346,1107,COURSE49,Spring,2019,C
347,1014,COURSE44,Fall,2020,D
348,1081,COURSE19,Summer,2021,D
349,1046,COURSE15,Summer,2024,D
350,1175,COURSE39,Fall,2024,F
351,1430,COURSE34,Summer,2023,D
352,1348,COURSE16,Summer,2023,D
353,1257,COURSE10,Summer,2021,B
354,1462,COURSE50,Summer,2024,C
355,1424,COURSE22,Summer,2024,C
356,1034,COURSE25,Summer,2020,D
357,1085,COURSE6,Fall,2020,C
358,1339,COURSE33,Fall,2022,A
359,1287,COURSE18,Summer,2024,F
360,1316,COURSE13,Spring,2022,C
361,1478,COURSE5,Fall,2024,D
362,1311,COURSE26,Fall,2024,B
363,1130,COURSE6,Spring,2021,B
364,1099,COURSE47,Summer,2024,D
365,1280,COURSE2,Fall,2021,F
366,1423,COURSE17,Spring,2024,B
367,1347,COURSE9,Spring,2022,D
368,1141,COURSE2,Spring,2020,B
369,1476,COURSE27,Fall,2023,B
370,1486,COURSE44,Fall,2020,A
371,1104,COURSE24,Summer,2024,D
372,1184,COURSE21,Spring,2022,C
373,1329,COURSE36,Fall,2020,C
374,1318,COURSE39,Spring,2023,B
375,1223,COURSE41,Fall,2023,A
376,1291,COURSE45,Fall,2020,F
377,1412,COURSE7,Fall,2020,F
378,1171,COURSE2,Spring,2024,C
379,1354,COURSE43,Summer,2022,C
380,1369,COURSE22,Spring,2022,B
381,1432,COURSE16,Summer,2022,A
382,1359,COURSE8,Spring,2020,B
383,1099,COURSE25,Spring,2023,B
384,1260,COURSE41,Fall,2020,A
385,1366,COURSE44,Summer,2024,B
386,1442,COURSE15,Fall,2022,F
387,1295,COURSE8,Summer,2020,F
388,1388,COURSE46,Spring,2024,B
389,1037,COURSE33,Fall,2020,C
390,1335,COURSE34,Spring,2023,A
391,1399,COURSE12,Fall,2020,A
392,1077,COURSE22,Fall,2020,F
393,1234,COURSE28,Fall,2021,F
394,1152,COURSE38,Fall,2020,D
395,1418,COURSE1,Spring,2019,B
396,1300,COURSE21,Spring,2022,A
397,1406,COURSE26,Summer,2021,F
398,1044,COURSE28,Summer,2023,A
399,1404,COURSE5,Summer,2022,F
400,1079,COURSE40,Summer,2022,B
401,1302,COURSE9,Fall,2020,A
402,1374,COURSE11,Summer,2022,C
403,1409,COURSE15,Fall,2019,D
404,1450,COURSE29,Summer,2020,D
405,1256,COURSE2,Spring,2023,A
406,1136,COURSE36,Summer,2019,F
407,1264,COURSE18,Summer,2021,F
408,1124,COURSE37,Summer,2024,B
409,1297,COURSE3,Spring,2019,C
410,1020,COURSE40,Summer,2023,C
411,1222,COURSE48,Summer,2020,B
412,1290,COURSE17,Fall,2019,D
413,1348,COURSE48,Fall,2022,F
414,1052,COURSE44,Fall,2023,D
415,1500,COURSE38,Spring,2023,A
416,1401,COURSE19,Fall,2020,A
417,1005,COURSE27,Summer,2024,A
418,1055,COURSE41,Spring,2024,A
419,1498,COURSE33,Summer,2022,F
420,1078,COURSE41,Summer,2020,F
421,1038,COURSE12,Summer,2019,D
422,1175,COURSE29,Fall,2020,F
423,1186,COURSE45,Spring,2024,C
424,1036,COURSE23,Spring,2021,B
425,1476,COURSE26,Spring,2022,C
426,1201,COURSE37,Summer,2020,C
427,1108,COURSE37,Summer,2023,B
428,1071,COURSE2,Fall,2022,D
429,1281,COURSE8,Spring,2019,F
430,1058,COURSE27,Summer,2021,C
431,1031,COURSE39,Spring,2023,C
432,1089,COURSE35,Fall,2023,A
433,1497,COURSE42,Spring,2021,F
434,1133,COURSE12,Spring,2022,F
435,1279,COURSE46,Spring,2019,F
436,1044,COURSE31,Fall,2020,D
437,1251,COURSE3,Spring,2022,D
438,1330,COURSE4,Fall,2019,C
439,1394,COURSE41,Spring,2020,C
440,1473,COURSE1,Summer,2021,A
441,1083,COURSE44,Summer,2024,B
442,1255,COURSE26,Fall,2020,C
443,1104,COURSE24,Fall,2021,F
444,1175,COURSE30,Fall,2023,B
445,1454,COURSE31,Spring,2022,B
446,1409,COURSE28,Spring,2023,B
447,1023,COURSE24,Spring,2024,A
448,1239,COURSE2,Spring,2023,A
449,1037,COURSE43,Summer,2021,F
450,1074,COURSE36,Summer,2024,C
451,1485,COURSE47,Fall,2022,A
452,1395,COURSE32,Summer,2021,F
453,1021,COURSE13,Fall,2023,F
454,1298,COURSE20,Spring,2024,B
455,1319,COURSE24,Summer,2022,D
456,1177,COURSE18,Summer,2019,B
457,1294,COURSE4,Summer,2022,B
458,1217,COURSE21,Summer,2019,F
459,1136,COURSE36,Summer,2022,A
460,1214,COURSE28,Summer,2022,C
461,1168,COURSE47,Spring,2022,C
462,1313,COURSE16,Summer,2023,B
463,1417,COURSE43,Spring,2023,D
464,1107,COURSE17,Summer,2023,B
465,1085,COURSE7,Spring,2019,F
466,1438,COURSE15,Summer,2019,C
467,1104,COURSE32,Spring,2023,B
468,1076,COURSE45,Fall,2020,C
469,1468,COURSE11,Spring,2019,C
470,1267,COURSE15,Fall,2022,A
471,1043,COURSE12,Fall,2021,B
472,1111,COURSE49,Spring,2022,F
473,1315,COURSE24,Summer,2023,B
474,1164,COURSE47,Fall,2020,C
475,1002,COURSE26,Spring,2024,A
476,1198,COURSE7,Spring,2020,A
477,1151,COURSE38,Summer,2023,D
478,1346,COURSE2,Spring,2022,D
479,1199,COURSE43,Fall,2022,B
480,1306,COURSE41,Fall,2021,D
481,1488,COURSE33,Fall,2020,B
482,1384,COURSE13,Summer,2021,F
483,1456,COURSE47,Spring,2021,D
484,1189,COURSE33,Fall,2024,A
485,1493,COURSE10,Summer,2021,B
486,1042,COURSE45,Spring,2020,F
487,1370,COURSE2,Spring,2024,B
488,1413,COURSE12,Summer,2020,B
489,1341,COURSE27,Summer,2023,A
490,1100,COURSE13,Summer,2021,F
491,1499,COURSE38,Spring,2022,C
492,1495,COURSE19,Summer,2024,C
493,1225,COURSE19,Spring,2019,F
494,1070,COURSE41,Fall,2024,F
495,1157,COURSE42,Spring,2019,B
496,1163,COURSE14,Spring,2023,A
497,1274,COURSE9,Spring,2020,B
498,1303,COURSE34,Summer,2024,B
499,1150,COURSE7,Spring,2021,F
500,1391,COURSE36,Spring,2019,A
